web-scraper-order,web-scraper-start-url,prix,adresse,img_link-src,type_habits
"1740086193-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328688_uploaded_image1_1592845070.jpg","Chaussures Nike"
"1740086193-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328580_uploaded_image1_1592844242.jpg","Baskets Nike Air"
"1740086193-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","22 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328577_uploaded_image1_1592844206.jpg","Chaussures Mc Queen"
"1740086193-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328568_uploaded_image1_1592844132.jpg","Baskets Fila"
"1740086193-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328563_uploaded_image1_1592844080.jpg","Baskets Nike Zoom"
"1740086193-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328557_uploaded_image1_1592844038.jpg","Baskets Nike Air"
"1740086193-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328543_uploaded_image1_1592843937.jpg","Baskets Balenciaga"
"1740086193-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328535_uploaded_image1_1592843860.jpg","Baskets Nike"
"1740086193-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328512_uploaded_image1_1592843736.jpg","Baskets Adidas Topanga"
"1740086193-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","23 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328499_uploaded_image1_1592843639.jpg","Chaussures Puma"
"1740086193-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328489_uploaded_image1_1592843563.jpg","Baskets Nike Air"
"1740086193-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328478_uploaded_image1_1592843504.jpg","Baskets Jordan"
"1740086193-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","22 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328475_uploaded_image1_1592843457.jpg","Mcqueen"
"1740086193-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","18 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328467_uploaded_image1_1592843419.jpg","Chaussures Reebok"
"1740086193-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328461_uploaded_image1_1592843388.jpg","Mocassins"
"1740086193-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","23 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328458_uploaded_image1_1592843353.jpg","Baskets Nike"
"1740086193-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2328454_uploaded_image1_1592843318.jpg","Baskets Nike"
